company,specific_origin,REF,review_date,cocoa_percent,company_location,rating,bean_type,broad_origin,Blend
A. Morin,Agua Grande,1876,2016,63.0,France,3.75,,Sao Tome,0
A. Morin,Kpime,1676,2015,70.0,France,2.75,,Togo,0
A. Morin,Atsane,1676,2015,70.0,France,3.0,,Togo,0
A. Morin,Akata,1680,2015,70.0,France,3.5,,Togo,0
A. Morin,Quilla,1704,2015,70.0,France,3.5,,Peru,0
A. Morin,Carenero,1315,2014,70.0,France,2.75,Criollo,Venezuela,0
A. Morin,Cuba,1315,2014,70.0,France,3.5,,Cuba,0
A. Morin,Sur del Lago,1315,2014,70.0,France,3.5,Criollo,Venezuela,0
A. Morin,Puerto Cabello,1319,2014,70.0,France,3.75,Criollo,Venezuela,0
A. Morin,Pablino,1319,2014,70.0,France,4.0,,Peru,0
A. Morin,Panama,1011,2013,70.0,France,2.75,,Panama,0
A. Morin,Madagascar,1011,2013,70.0,France,3.0,Criollo,Madagascar,0
A. Morin,Brazil,1011,2013,70.0,France,3.25,,Brazil,0
A. Morin,Equateur,1011,2013,70.0,France,3.75,,Ecuador,0
A. Morin,Colombie,1015,2013,70.0,France,2.75,,Colombia,0
A. Morin,Birmanie,1015,2013,70.0,France,3.0,,Burma,0
A. Morin,Papua New Guinea,1015,2013,70.0,France,3.25,,Papua New Guinea,0
A. Morin,Chuao,1015,2013,70.0,France,4.0,Trinitario,Venezuela,0
A. Morin,Piura,1019,2013,70.0,France,3.25,,Peru,0
A. Morin,Chanchamayo Province,1019,2013,70.0,France,3.5,,Peru,0
A. Morin,Chanchamayo Province,1019,2013,63.0,France,4.0,,Peru,0
A. Morin,Bolivia,797,2012,70.0,France,3.5,,Bolivia,0
A. Morin,Peru,797,2012,63.0,France,3.75,,Peru,0
Acalli,"Chulucanas, El Platanal",1462,2015,70.0,U.S.A.,3.75,,Peru,0
Acalli,"Tumbes, Norandino",1470,2015,70.0,U.S.A.,3.75,Criollo,Peru,0
Adi,Vanua Levu,705,2011,60.0,Fiji,2.75,Trinitario,Fiji,0
Adi,"Vanua Levu, Toto-A",705,2011,80.0,Fiji,3.25,Trinitario,Fiji,0
